2024-09-09 14:38:18,616 INFO    StreamThr :376236 [internal.py:wandb_internal():85] W&B internal server running at pid: 376236, started at: 2024-09-09 14:38:18.616299
2024-09-09 14:38:18,621 DEBUG   HandlerThread:376236 [handler.py:handle_request():158] handle_request: status
2024-09-09 14:38:18,623 INFO    WriterThread:376236 [datastore.py:open_for_write():87] open: /home/hepe00001/Desktop/neuro_explicit/generative_diffusion/DeepLayout/layout_transformer/wandb/run-20240909_143818-7jhvbd1o/run-7jhvbd1o.wandb
2024-09-09 14:38:18,623 DEBUG   SenderThread:376236 [sender.py:send():391] send: header
2024-09-09 14:38:18,623 DEBUG   SenderThread:376236 [sender.py:send():391] send: run
2024-09-09 14:38:18,967 INFO    SenderThread:376236 [dir_watcher.py:__init__():211] watching files in: /home/hepe00001/Desktop/neuro_explicit/generative_diffusion/DeepLayout/layout_transformer/wandb/run-20240909_143818-7jhvbd1o/files
2024-09-09 14:38:18,967 INFO    SenderThread:376236 [sender.py:_start_run_threads():1200] run started: 7jhvbd1o with start time 1725885498.614138
2024-09-09 14:38:18,971 DEBUG   HandlerThread:376236 [handler.py:handle_request():158] handle_request: run_start
2024-09-09 14:38:18,987 DEBUG   HandlerThread:376236 [system_info.py:__init__():26] System info init
2024-09-09 14:38:18,987 DEBUG   HandlerThread:376236 [system_info.py:__init__():41] System info init done
2024-09-09 14:38:18,987 INFO    HandlerThread:376236 [system_monitor.py:start():194] Starting system monitor
2024-09-09 14:38:18,987 INFO    SystemMonitor:376236 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-09 14:38:18,987 INFO    HandlerThread:376236 [system_monitor.py:probe():214] Collecting system info
2024-09-09 14:38:18,988 INFO    SystemMonitor:376236 [interfaces.py:start():188] Started cpu monitoring
2024-09-09 14:38:18,988 INFO    SystemMonitor:376236 [interfaces.py:start():188] Started disk monitoring
2024-09-09 14:38:18,989 INFO    SystemMonitor:376236 [interfaces.py:start():188] Started gpu monitoring
2024-09-09 14:38:18,991 INFO    SystemMonitor:376236 [interfaces.py:start():188] Started memory monitoring
2024-09-09 14:38:18,991 INFO    SystemMonitor:376236 [interfaces.py:start():188] Started network monitoring
2024-09-09 14:38:19,012 DEBUG   HandlerThread:376236 [system_info.py:probe():152] Probing system
2024-09-09 14:38:19,017 DEBUG   HandlerThread:376236 [system_info.py:_probe_git():137] Probing git
2024-09-09 14:38:19,025 DEBUG   HandlerThread:376236 [system_info.py:_probe_git():145] Probing git done
2024-09-09 14:38:19,025 DEBUG   HandlerThread:376236 [system_info.py:probe():200] Probing system done
